"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.77408023851223,0.546,0.037,0,"PC","Gprc5b"
0,0.975782787985129,0.45,0.021,0,"PC","Tnn"
0,2.57368191062056,0.445,0.017,0,"PC","Sbspon"
1.10483466245966e-290,1.39481397043231,0.437,0.024,5.07671527400215e-287,"PC","Ptger1"
7.0788534233383e-249,0.975363612313738,0.298,0.01,3.25273314802395e-245,"PC","Avpr2"
1.43437621807322e-215,0.900120634703223,0.71,0.097,6.59095872204646e-212,"PC","Scd2"
3.77962974693951e-210,1.57161267085286,0.471,0.039,1.73673986871871e-206,"PC","Hspb1"
1.76047708103866e-196,0.451577758375235,0.592,0.074,8.08939218737263e-193,"PC","H1f0"
1.73359819354669e-170,0.562291177994269,0.466,0.053,7.96588369934705e-167,"PC","Mgat2"
6.58601744394593e-167,0.457591875055932,0.714,0.123,3.02627501549315e-163,"PC","Rps21"
7.08561974863407e-164,0.724101826466371,0.685,0.113,3.25584227449735e-160,"PC","Rps28"
2.22961797465169e-163,0.484293355577942,0.676,0.111,1.02450945935245e-159,"PC","Rplp2"
2.23359051552023e-136,0.448587844828084,0.534,0.083,1.02633484188155e-132,"PC","Lbh"
1.27871615153802e-128,0.525809281684338,0.639,0.12,5.8757007163172e-125,"PC","Rps23"
2.69518553144611e-113,0.451446458510403,0.521,0.091,1.23843775169949e-109,"PC","Hspg2"
1.74572917711254e-111,0.330936999909564,0.277,0.028,8.02162556883212e-108,"PC","Hoxd9"
3.27005812355448e-111,0.619558692218599,0.609,0.12,1.50259170777328e-107,"PC","Rps25"
3.62203506741171e-105,1.67419082525088,0.21,0.017,1.66432511347568e-101,"PC","Tnfsf13b"
2.88650273080547e-87,2.94627248280291,0.235,0.023,1.32634800480511e-83,"PC","Trp53i11"
7.36939522020617e-86,1.22918291914655,0.366,0.06,3.38623710368473e-82,"PC","Marveld1"
1.48069644809902e-83,1.07127239311547,0.336,0.051,6.80380017901497e-80,"PC","Srp14"
1.70686653704775e-83,0.660571264778186,0.508,0.109,7.84305173773442e-80,"PC","Rpl7a"
1.96615533184098e-79,0.38792577463785,0.387,0.069,9.03448374980928e-76,"PC","Cfl1"
8.80805045345229e-76,0.384685743997411,0.504,0.111,4.04729918336133e-72,"PC","Capns1"
8.75216563500146e-68,1.83793663901371,0.189,0.018,4.02162010928317e-64,"PC","Krt80"
8.93257657683592e-68,0.503541168472284,0.534,0.128,4.10451893705611e-64,"PC","Prkd1"
2.61023398316878e-67,0.364201684480967,0.172,0.018,1.19940251526606e-63,"PC","Hmgn5"
6.48642685904454e-65,1.15686874009547,0.261,0.04,2.98051314173097e-61,"PC","Eid1"
3.99187422004869e-62,0.597373435629337,0.328,0.062,1.83426620411237e-58,"PC","Adam15"
1.24114290153053e-58,0.269111575934611,0.214,0.031,5.70305163253277e-55,"PC","Isyna1"
5.94104152396408e-53,0.623181009488261,0.16,0.019,2.7299085802615e-49,"PC","Klhl21"
5.42284041864002e-49,1.03873104257689,0.277,0.055,2.49179517236509e-45,"PC","Dlgap1"
7.7746212303536e-44,0.854840023400202,0.345,0.083,3.57243845534748e-40,"PC","Ndufa2"
3.6487039622178e-42,0.823917056648863,0.164,0.025,1.67657947063908e-38,"PC","Gnl1"
9.81155568331403e-40,1.57177081948328,0.155,0.023,4.50840983648279e-36,"PC","Cstf2t"
1.6336860632161e-39,1.94652464415305,0.155,0.006,7.50678746047798e-36,"PC","Tmem158"
7.36239861967027e-36,0.791878272395948,0.172,0.03,3.38302216573849e-32,"PC","Sf3b5"
1.31500907529582e-35,0.694436477844951,0.109,0.011,6.04246670098428e-32,"PC","Suox"
1.96186954028258e-35,1.78932474815901,0.202,0.04,9.01479053759843e-32,"PC","Enpp4"
1.34596941036432e-30,0.60018120155779,0.189,0.04,6.18472944062407e-27,"PC","Rfk"
2.04535064170801e-29,1.18120277089949,0.113,0.013,9.39838619864831e-26,"PC","Bmyc"
6.00905757353265e-28,0.384615742053654,0.134,0.024,2.76116195503825e-24,"PC","Creb3"
4.22400494164959e-24,0.89180699056844,0.324,0.099,1.94093027068799e-20,"PC","Uqcr11"
9.1501560186547e-24,1.65740064142889,0.122,0.022,4.20449669057183e-20,"PC","Polr2i"
1.40471197815903e-22,0.417030247595825,0.113,0.015,6.45465153964074e-19,"PC","Bola1"
3.10224546611035e-15,0.3297506046378,0.139,0.038,1.42548179167771e-11,"PC","Sdhd"
6.33562746611685e-15,1.62987517533748,0.109,0.022,2.91122082068069e-11,"PC","Smpd1"
