"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.60088279936691,0.641,0.021,0,"IMM","Dock2"
0,4.09143752603923,0.501,0.02,0,"IMM","Prkcb"
0,2.60307265583432,0.498,0.037,0,"IMM","Slc9a9"
0,0.389335984511169,0.49,0.073,0,"IMM","Sh3kbp1"
0,6.17039135739296,0.396,0.012,0,"IMM","Arhgap45"
0,0.420252476689036,0.425,0.048,0,"IMM","Cd74"
0,4.06200465753361,0.345,0.008,0,"IMM","Pik3ap1"
0,2.93088193957626,0.349,0.014,0,"IMM","Pik3cd"
0,4.97434427622459,0.32,0.009,0,"IMM","Ly86"
0,2.1594828730271,0.348,0.04,0,"IMM","Dock11"
0,4.32768281012202,0.333,0.027,0,"IMM","H2-Aa"
0,3.91030000055098,0.307,0.009,0,"IMM","Laptm5"
0,3.23933123219862,0.324,0.036,0,"IMM","Stk10"
0,4.12502644120309,0.292,0.009,0,"IMM","Adgre1"
0,2.56419617597202,0.265,0.019,0,"IMM","H2-Eb1"
0,0.393140609474297,0.235,0.02,0,"IMM","Ptpn22"
0,2.15947425922272,0.22,0.014,0,"IMM","Nrros"
0,2.91326438202042,0.211,0.007,0,"IMM","Cd86"
0,1.41705649287629,0.223,0.02,0,"IMM","Lacc1"
2.24900713433749e-288,4.68965470616554,0.268,0.005,1.03341877822808e-284,"IMM","Arhgap30"
5.82643728051107e-264,0.421471217728505,0.276,0.029,2.67724793039484e-260,"IMM","H2-Ab1"
8.84209612014737e-238,2.64649757998655,0.171,0.012,4.06294316720771e-234,"IMM","Arrb2"
6.44158035688106e-215,1.89314340259803,0.212,0.029,2.95990617398685e-211,"IMM","Skap1"
1.01974661391442e-198,2.8778719064132,0.386,0.094,4.68573569093675e-195,"IMM","Sp100"
3.73684266509421e-181,3.16191065418406,0.248,0.044,1.71707920461079e-177,"IMM","Mndal"
7.83045137306115e-148,4.46835313681887,0.197,0.004,3.5980924059216e-144,"IMM","Fgd2"
4.8122459241657e-146,4.68094362430894,0.215,0.004,2.21122700215414e-142,"IMM","Vav1"
1.01724154762943e-139,2.49649695222256,0.22,0.044,4.67422491135722e-136,"IMM","Lrp1"
4.01700750656977e-130,0.946833377350922,0.277,0.07,1.84581494926881e-126,"IMM","Marcks"
4.76824249119113e-129,0.421039998610167,0.173,0.029,2.19100742470232e-125,"IMM","Tgfb1"
1.39595040792989e-124,1.49712007134168,0.378,0.117,6.41439212443782e-121,"IMM","B2m"
6.58480596587068e-122,4.82869294933456,0.235,0.011,3.02571834131758e-118,"IMM","Coro1a"
3.77119629587728e-110,1.17137981113166,0.141,0.023,1.73286469795561e-106,"IMM","Arhgdib"
1.08776091475409e-107,0.60497578920117,0.354,0.114,4.99826140329503e-104,"IMM","Fyn"
1.49670727199327e-95,4.3367087136569,0.18,0.038,6.87736991480908e-92,"IMM","Ggta1"
3.5061132125541e-91,3.12384472914758,0.192,0.045,1.61105902116861e-87,"IMM","Plekho1"
1.11663111280888e-89,0.408576016411199,0.205,0.052,5.13091996335682e-86,"IMM","Ank"
5.20362351850912e-79,2.55429842246044,0.157,0.012,2.39106500675494e-75,"IMM","Lsp1"
4.17317304157301e-68,2.87444196759636,0.144,0.009,1.9175730126028e-64,"IMM","Hcls1"
3.33106474514612e-66,0.978383179196077,0.362,0.147,1.53062425039464e-62,"IMM","Cox8a"
8.39388332426464e-64,2.72552198738545,0.137,0.015,3.8569893874996e-60,"IMM","Fes"
1.65046517627058e-52,0.701352674359534,0.145,0.042,7.58388748496332e-49,"IMM","Sfrp1"
1.84448926460869e-50,1.30273783913153,0.137,0.031,8.47542817087695e-47,"IMM","Abi3"
6.4001917302924e-41,0.29187607777002,0.163,0.057,2.94088810006936e-37,"IMM","Plin2"
2.72228567883802e-40,1.40171947528869,0.233,0.099,1.25089026942607e-36,"IMM","Chchd10"
2.11064905126716e-32,0.261014938308843,0.122,0.042,9.69843239057262e-29,"IMM","Psme1"
9.59898473932557e-32,0.423822886989725,0.137,0.04,4.4107334877201e-28,"IMM","H2-Q7"
6.73932454057905e-28,0.352488987646399,0.144,0.058,3.09671962639607e-24,"IMM","S100a1"
5.23569014979024e-25,0.750760078645428,0.179,0.082,2.40579962382862e-21,"IMM","Ndufa2"
1.29457257696187e-24,1.00821187402132,0.222,0.111,5.9485609911398e-21,"IMM","Capns1"
4.44176420193358e-24,3.97387390140201,0.14,0.006,2.04099065078848e-20,"IMM","Lst1"
3.14820340186688e-23,3.95878996434941,0.152,0.006,1.44659946315783e-19,"IMM","Cd52"
8.77497400661883e-23,3.55811478834886,0.162,0.005,4.03210055604135e-19,"IMM","Pld4"
1.73391153119226e-16,1.98426662044986,0.162,0.084,7.96732348582844e-13,"IMM","Lbh"
1.20397378843701e-15,2.3171008345834,0.103,0.002,5.53225955786805e-12,"IMM","Clec4a3"
3.62688252141342e-11,1.2315633233479,0.118,0.063,1.66655251858947e-07,"IMM","Ndufv1"
4.15167297922952e-11,1.00827952646285,0.121,0.007,1.90769373395596e-07,"IMM","Plbd1"
7.80647853131467e-10,0.454182947968191,0.108,0.059,3.58707688513909e-06,"IMM","Degs1"
1.61659952371728e-09,4.91385473335455,0.112,0.003,7.42827481148091e-06,"IMM","Itk"
1.08856709265817e-08,3.47277577938548,0.115,0.006,5.00196579076431e-05,"IMM","Cd247"
0.00023511623265971,7.34562111546133,0.115,0.016,1,"IMM","Gimap3"
